file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00335_0109_849180_to_855827,ཅན་གྱི་གཙུག་གཡུ་ཞིག་ཡོད་པ་དེ་བཙན་འཕྲོག་བྱེད་པའི་ཆེད་དུ་ངའི་ཕ་མ་གཉིས་ལ་མནར་གཅོད་དྲག་པོ་བཏང་ནས་མ་ཤི་ཙམ་བཟོས།  ,can gyi gtsug g.yu zhig yod pa de btsan 'phrog byed pa'i ched du nga'i pha ma gnyis la mnar gcod drag po btang nas ma shi tsam bzos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00335_0109_849180_to_855827.wav,STT_AB,2,108,6.647,wav16k/STT_AB00335_0109_849180_to_855827.wav,ཅན་གྱི་གཙུག་གཡུ་ཞིག་ཡོད་པ་དེ་བཙན་ཕྲོགས་བྱེད་པའི་ཆེད་དུ་ངའི་ཕ་མ་གཉིས་ལ་མནར་གཅོད་དྲག་པོ་བཏང་ནས་མ་ཤི་ཙམ་བཟོས།
STT_AB00335_0097_775588_to_784940,མདའ་དཔོན་གྱི་མིག་གི་ནང་དུ་གློ་བུར་དུ་གང་ཟག་གི་སྣང་བརྙན་ཞིག་ཏུ་འགྱུར་བ་མ་ཟད། གཞོན་ནུ་འདི་ནི་ཆུང་དུས་ནས་རྣམ་རིག་བཀྲ་བའི་ཐོག་ལ། ད་ནི་ ,mda' dpon gyi mig gi nang du glo bur du gang zag gi snang brnyan zhig tu 'gyur ba ma zad/_gzhon nu 'di ni chung dus nas rnam rig bkra ba'i thog la/_da ni _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00335_0097_775588_to_784940.wav,STT_AB,2,131,9.352,wav16k/STT_AB00335_0097_775588_to_784940.wav,མདའ་དཔོན་གྱིས་མིག་གི་ནང་དུ་གློ་བུར་དུ་གང་ཟག་གི་སྣང་བརྙན་ཞིག་ཏུ་གྱུར་པ་མ་ཟད། གཞོན་ནུ་འདི་ནི་ཆུང་དུས་ནས་རྣམ་རིས་བཀྲ་བའི་ཐོག་ལ་ད་ནི་ལྟོ་
STT_AB00335_0099_794769_to_796749,དགྲ་ཤ་ལེན་དགོས་དོན་གང་ཡིན་ནམ་བསམས་ཏེ་ ,dgra sha len dgos don gang yin nam bsams te _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00335_0099_794769_to_796749.wav,STT_AB,2,38,1.98,wav16k/STT_AB00335_0099_794769_to_796749.wav,དགྲ་ཤ་ལེན་དགོས་དོན་གང་ཡིན་ནམ་བསམས་ཏེ་
STT_AB00335_0103_805332_to_815895,སྙིང་སྟོན་མཁན་མཐའ་དག་ལ་ངས་ཀྱང་སྙིང་སྟོན་གྱི་ཡོད་ལ། ལྷག་དོན་དུ་ཁྱོད་ནི་ཆུང་དུས་ངའི་སློབ་མ་བྱེད་མྱོང་ཞིང་། ཡུན་རིང་གཡོག་པོའང་རྒྱུག་མྱོང་ཡོད་པས་ཁྱོད་ལ་ག་རེ་ཤོད་རྒྱུ་ཡོད་ཀྱང་ ,snying ston mkhan mtha' dag la ngas kyang snying ston gyi yod la/_lhag don du khyod ni chung dus nga'i slob ma byed myong zhing /_yun ring g.yog po'ang rgyug myong yod pas khyod la ga re shod rgyu yod kyang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00335_0103_805332_to_815895.wav,STT_AB,2,171,10.563,wav16k/STT_AB00335_0103_805332_to_815895.wav,སྙིང་སྟོན་མཁན་མཐའ་དག་ལ་ངས་ཀྱང་སྙིང་སྟོན་གྱི་ཡོད་ལ་ ལྷག་དོན་དུ་ཁྱོད་ནི་ཆུང་དུས་ངའི་སློབ་མ་བྱེད་མྱོང་ཞིང་། ཡུན་རིང་གཡོག་པོཡང་གྱོ་མྱོང་ཡོད་པས་ཁྱེད་ལ་ག་རེ་ཤོད་རྒྱུ་ཡོད་ཀྱང་
STT_AB00335_0104_815895_to_826459,ཤོད་ཅིག་ཅེས་ནན་ཏན་གྱིས་བཤད་དེ། ལོ་ན་ཕྲ་བའི་གཞོན་ནུ་འདིའི་ཁ་ནས་ཡ་མཚན་ཅན་གྱི་གསང་གཏམ་ཅི་འདྲ་ཞིག་ཐོས་ཡོང་ངམ་སྙམ་མུར་ཡིད་གཟབ་ཀྱིས་གཏམ་ལན་བསྒུགས་ནས་བསྡད།  ,shod cig ces nan tan gyis bshad de/_lo na phra ba'i gzhon nu 'di'i kha nas ya mtshan can gyi gsang gtam ci 'dra zhig thos yong ngam snyam mur yid gzab kyis gtam lan bsgugs nas bsdad/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00335_0104_815895_to_826459.wav,STT_AB,2,150,10.564,wav16k/STT_AB00335_0104_815895_to_826459.wav,ཅོད་ཅིག་ཅེས་ནན་ཏན་གྱིས་བཤད་དེ། ལོ་ན་ྲ་བའི་གཞོན་ནུ་འདིའི་ཁ་ནས་ཡ་མཚན་ཅན་གྱི་སྲ་གཏམ་ཅི་འདྲ་ཞིག་ཐོན་ཡོང་ངམ་སྙམ་མུར་ཡིད་གཟབ་ཀྱིས་གཏམ་ལན་བསྒུགས་ནས་བསྡད།
STT_AB00335_0106_828472_to_835102,ངའི་ཕ་མ་གཉིས་ཀ་དཀོན་ཅོག་ལ་དད་གུས་ཆེ་ཞིང་། མགོ་འདྲེན་དཔོན་པོ་རྣམས་ལ་བརྩི་བཀུར་ཆེ་བ། ཀུན་ལ་སེམས་པ་བཟང་བ།  ,nga'i pha ma gnyis ka dkon cog la dad gus che zhing /_mgo 'dren dpon po rnams la brtsi bkur che ba/_kun la sems pa bzang ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00335_0106_828472_to_835102.wav,STT_AB,2,104,6.63,wav16k/STT_AB00335_0106_828472_to_835102.wav,ངའི་ཕ་མ་གཉིས་ཀ་དཀོན་མཆོག་ལ་དད་གུས་ཆེ་ཞིང་སྒོ་འདྲེན་དཔོན་པོ་རྣམས་ལ་བརྩི་བཀུར་ཆེ་བ། ཀུན་ལ་སེམས་པ་བཟང་བ།
STT_AB00335_0094_746424_to_758438,ཉམས་ཆུང་ནུས་མེད་ཅིག་ཏུ་མཐོང་ཡང་། དེ་རིང་ནི་དོན་དང་ལྡན་པའི་གཏམ་འདི་ལྟ་བུ་གླེང་བ་མ་ཟད། སེམས་ཐག་ཆོད་པོས་ཕ་མའི་དགྲ་ཤ་ལེན་རྒྱུའི་ཆོད་སེམས་ཀྱང་བསྟན་པས་མདའ་དཔོན་ལ་ངོ་མཚར་ཆེན་པོ་སྐྱེས།  ,nyams chung nus med cig tu mthong yang /_de ring ni don dang ldan pa'i gtam 'di lta bu gleng ba ma zad/_sems thag chod pos pha ma'i dgra sha len rgyu'i chod sems kyang bstan pas mda' dpon la ngo mtshar chen po skyes/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00335_0094_746424_to_758438.wav,STT_AB,2,178,12.014,wav16k/STT_AB00335_0094_746424_to_758438.wav,ཉམ་ཆུང་ནུས་མེད་ཅིག་ཏུ་མཐོང་ཡང་དེ་རིང་ནི་དོན་དང་ལྡན་པའི་གཏམ་འདི་ལྟ་བུ་གླེང་བ་མ་ཟད། སེམས་ཐག་ཆོད་པོས་ཕ་མའི་དགྲ་ཤ་ལེན་རྒྱུའི་ཆོད་སེམས་ཀྱང་བསྟན་པས་མདའ་དཔོན་ལ་ངོ་མཚར་ཆེན་པོ་སྐྱེས།
STT_AB00335_0096_766237_to_775588,རྣམ་ཀུན་སྦྱིན་བདག་གི་རྐང་པའི་གཡས་གཡོན་དུ་མཇུག་མ་བརླ་ཡི་བར་དུ་བཅུག་ནས་ཕར་འགྲོ་ཚུར་འགྲོ་བྱེད་མཁན་སྒོ་ཁྱི་ཞིག་གི་གནས་བབ་ལས་མི་མངོན་པའི་གཟུགས་སྣང་དེ་ནི། དེ་རིང་ ,rnam kun sbyin bdag gi rkang pa'i g.yas g.yon du mjug ma brla yi bar du bcug nas phar 'gro tshur 'gro byed mkhan sgo khyi zhig gi gnas bab las mi mngon pa'i gzugs snang de ni/_de ring _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00335_0096_766237_to_775588.wav,STT_AB,2,157,9.351,wav16k/STT_AB00335_0096_766237_to_775588.wav,རྣམ་ཀུན་སྦྱིན་བདག་གི་རྐང་པའི་གཡས་གཡོན་དུ་མཇུག་མ་སླ་ཡི་བར་དུ་བཅུག་ནས་ཕར་འགྲོ་ཚུར་འགྲོ་བྱེད་མཁན་སྒུ་ཁྱི་ཞིག་གི་གནས་བབ་ལས་མི་མངོན་པའི་གཟུངས་སྣང་དེ་ནི་དེ་རིང་
STT_AB00335_0113_884803_to_896021,ངའི་པ་ཕ་འདས་པོ་དེ་ཚེ་མ་ཟིན་པའི་ཉིན་མོ་དེ་རང་ལ་ངས་ཇོ་ཁང་གི་སྒོ་འགྲམ་དུ་དགྲ་ཤ་ལེན་རྒྱུའི་དམ་བཅའ་ཕུལ་ཚར་བ་ཡིན། ལོ་བཅུ་ལྷག་ཙམ་གྱི་རིང་ལ་ངས་ ,nga'i pa pha 'das po de tshe ma zin pa'i nyin mo de rang la ngas jo khang gi sgo 'gram du dgra sha len rgyu'i dam bca' phul tshar ba yin/_lo bcu lhag tsam gyi ring la ngas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00335_0113_884803_to_896021.wav,STT_AB,2,136,11.218,wav16k/STT_AB00335_0113_884803_to_896021.wav,ངའི་པ་ཕ་འདས་པོ་དེ་ཚེ་མ་ཟིན་པའི་ཉིན་མོ་དེ་རང་ལ་ངས་ཇོ་ཁང་གི་སྒོ་འགྲམ་དུ་དགྲ་ཤ་ལེན་རྒྱུའི་དམ་བཅའ་ཕུལ་ཚར་བ་ཡིན། ལོ་བཅུ་ལྷག་ཙམ་གྱི་རིང་ལ་ངས་
STT_AB00335_0153_1227738_to_1237892,ཁྱེད་ཀྱིས་ཚའི་བཀའ་སློབ་དང་གཡོ་བ་མེད་པའི་རྒྱབ་སྐྱོར་གནང་བ་དེས་བདག་གི་བློ་སྟོབས་ཆེ་ཆེར་ཕེལ་ཏེ་ལུས་པོ་ཡོང་ནུས་ཤུགས་དང་སེམས་ཤུགས་ཀྱིས་ཁེངས་སོང་། བྱ་བ་ལམ་ལྷོངས་ཡོང་རྒྱུར་ ,khyed kyis tsha'i bka' slob dang g.yo ba med pa'i rgyab skyor gnang ba des bdag gi blo stobs che cher phel te lus po yong nus shugs dang sems shugs kyis khengs song /_bya ba lam lhongs yong rgyur _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00335_0153_1227738_to_1237892.wav,STT_AB,2,166,10.154,wav16k/STT_AB00335_0153_1227738_to_1237892.wav,ཁྱེད་ཀྱིས་ཤ་ཚའི་བཀའ་སློབ་དང་གཡོ་བ་མེད་པའི་རྒྱབ་སྐྱོར་གནང་བ་དེས་བདག་གི་བློ་སྟོབས་ཆེས་ཆིར་འཕེལ་ཏེ་ལུས་པོ་ཡོངས་རྫོགས་ནུས་ཤུགས་དང་སེམས་ཤུགས་ཀྱིས་ཁེངས་སོང་། བྱ་བ་ལམ་ལྷོང་ཡོང་རྒྱུར་
